recipe_name,diet_name
"High protein breakfast","High Protein"
"Indian chicken protein pots","High Protein"
"Indian chicken protein pots","Regular"
"Indian chicken protein pots","Low Sodium"
"Indian chicken protein pots","Low Carb"
"Creamy courgette lasagne","Regular"
"Creamy courgette lasagne","High Protein"
"Moroccan chickpea soup","Regular"
"Moroccan chickpea soup","Low Sodium"
"Moroccan chickpea soup","Low Carb"
"Mushroom risotto","Regular"
"Mushroom risotto","Low Sodium"
"Spaghetti puttanesca","Regular"
"Spaghetti puttanesca","Low Sodium"
"Tomato salad","Regular"
"Tomato salad","Low Sodium"
"Tomato salad","Low Carb"
"American blueberry pancakes","Regular"
"American blueberry pancakes","Low Sodium"
"American blueberry pancakes","High Protein"
"Apple & blackberry crumble","Regular"
"Apple & blackberry crumble","Low Sodium"
"Homemade protein shake","High Protein"
"Homemade protein shake","Regular"
"Homemade protein shake","Low Sodium"
"Veggie protein chilli","High Protein"
"Veggie protein chilli","Regular"
"Breakfast smoothie","Regular"
"Breakfast smoothie","Low Sodium"
"Chicken satay salad","Regular"
"Chicken satay salad","High Protein"
"Chicken satay salad","Low Carb"
"Chicken satay salad","Low Sodium"
"Lemon & coriander hummus","Regular"
"Lemon & coriander hummus","High Protein"
"Lemon & coriander hummus","Low Carb"
"Lemon & coriander hummus","Low Sodium"
"Instant frozen berry yogurt","Regular"
"Instant frozen berry yogurt","Low Carb"
"Instant frozen berry yogurt","Low Sodium"
"Stuffed jacket potatoes","Regular"
"Stuffed jacket potatoes","High Protein"
"Stuffed jacket potatoes","Low Carb"
"Stuffed jacket potatoes","Low Sodium"
"Easy hummus","Regular"
"Easy hummus","High Protein"
"Easy hummus","Low Carb"
"Easy hummus","Low Sodium"
"Curried chicken & mango salad","Regular"
"Curried chicken & mango salad","High Protein"
"Curried chicken & mango salad","Low Sodium"
"Thai squash soup","Regular"
"Thai squash soup","Low Sodium"
"Favourite pasta salad","Regular"
"Favourite pasta salad","Low Sodium"
"Two bean, potato & tuna salad","Regular"
"Two bean, potato & tuna salad","High Protein"
"Two bean, potato & tuna salad","Low Carb"
"Two bean, potato & tuna salad","Low Sodium"
"Moroccan turkey salad","High Protein"
"Moroccan turkey salad","Low Sodium"
"Courgette & tomato soup","Regular"
"Courgette & tomato soup","Low Carb"
"Courgette & tomato soup","Low Sodium"
"Apple & linseed porridge","Regular"
"Apple & linseed porridge","High Protein"
"Apple & linseed porridge","Low Carb"
"Apple & linseed porridge","Low Sodium"
"Baked eggs with spinach & tomato","Regular"
"Baked eggs with spinach & tomato","High Protein"
"Baked eggs with spinach & tomato","Low Carb"
"Baked eggs with spinach & tomato","Low Sodium"
"Mushroom & basil omelette","Regular"
"Mushroom & basil omelette","High Protein"
"Mushroom & basil omelette","Low Carb"
"Mushroom & basil omelette","Low Sodium"
"Fruit & nut granola","Regular"
"Fruit & nut granola","High Protein"
"Fruit & nut granola","Low Sodium"
"Fruitburst muffins","Regular"
"Fruitburst muffins","Low Sodium"
"Mexican egg roll","Regular"
"Mexican egg roll","Low Carb"
"Mexican egg roll","Low Sodium"
"Crunchy prawn & noodle","Regular"
"Crunchy prawn & noodle","High Protein"
"Cloud bread","Regular"
"Cloud bread","Low Carb"
"Cloud bread","Low Sodium"
"Paillard of chicken","Regular"
"Paillard of chicken","High Protein"
"Paillard of chicken","Low Carb"
"Paillard of chicken","Low Sodium"
"Greek salad omelette","Regular"
"Greek salad omelette","High Protein"
"Greek salad omelette","Low Carb"
"Aubergine melts","Regular"
"Aubergine melts","Low Carb"
"Aubergine melts","Low Sodium"
"Prawn & bacon frittata","Regular"
"Prawn & bacon frittata","High Protein"
"Prawn & bacon frittata","Low Carb"
"Healthy banana bread","Regular"
"Healthy banana bread","High Protein"
"Healthy banana bread","Low Carb"
"Healthy banana bread","Low Sodium"
"Superhealthy salmon burgers","Regular"
"Superhealthy salmon burgers","High Protein"
"Superhealthy salmon burgers","Low Carb"
"Superhealthy salmon burgers","Low Sodium"
"Sugar-free carrot cake","Regular"
"Sugar-free carrot cake","High Protein"
"Sugar-free carrot cake","Low Sodium"
"Jamaican grilled fish","Regular"
"Jamaican grilled fish","High Protein"
"Jamaican grilled fish","Low Carb"
"Jamaican grilled fish","Low Sodium"
"Creamy chicken asparagus","Regular"
"Creamy chicken asparagus","High Protein"
"Creamy chicken asparagus","Low Carb"
"Creamy chicken asparagus","Low Sodium"
"Salmon & rocket pasta","Regular"
"Salmon & rocket pasta","High Protein"
"Salmon & rocket pasta","Low Sodium"
"Bean & pepper chilli","Regular"
"Bean & pepper chilli","High Protein"
"Grapefruit & pistachio salad","Regular"
"Grapefruit & pistachio salad","Low Carb"
"Grapefruit & pistachio salad","Low Sodium"
"Perfect porridge","Regular"
"Perfect porridge","High Protein"
"Perfect porridge","Low Sodium"
"Cranberry & raspberry smoothie","Regular"
"Cranberry & raspberry smoothie","Low Carb"
"Cranberry & raspberry smoothie","Low Sodium"
"Feta & dried tomato omelette","Regular"
"Feta & dried tomato omelette","High Protein"
"Nutty chicken curry","Regular"
"Nutty chicken curry","High Protein"
"Sweet potato salad","Regular"
"Sweet potato salad","Low Sodium"
"Cabbage with almonds","Regular"
"Cabbage with almonds","Low Carb"
"Cabbage with almonds","Low Sodium"
"Trout en papillote","Regular"
"Trout en papillote","High Protein"
"Ceviche","Regular"
"Ceviche","Low Carb"
"Spiced scrambled eggs","Regular"
"Spiced scrambled eggs","Low Carb"
"Italian-style beef stew","Regular"
"Italian-style beef stew","Low Carb"
"Italian-style beef stew","High Protein"
"Roasted ratatouille chicken","Regular"
"Roasted ratatouille chicken","High Protein"
"Roasted ratatouille chicken","Low Carb"
