name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
"Celeriac in remoulade sauce, prepacked",1120,4190,12800,2380,2870,1080,7730,3670,0.1,1000,28.6,0.069,0.29,12,0.11,35,315,395,0.22,0.002,0.008,0.0005,3.4,25.2,0.04,0.04,0.38,0.28,0.19,0.028,0.00008
"Prepared mixed tuna and vegetable salad, canned, drained",9150,7740,4700,3080,2700,560,1830,1760,19.2,1110,20.7,0.1,1.1,25.1,0.1,88.4,232,445,0.6,0.002,0,0.0005,1.6,2.75,0.04,0.053,4.45,0.16,0.29,0.031,0.00145
"Prepared mixed meat/fish canned, drained salad",8060,6400,5300,1900,2000,160,3270,1540,15.2,950,22,0.07,0.7,20,0.1,92,220,381,0.38,0.021,0.781,0.00044,2.04,0,0.032,0.022,4.13,0.2,0.12,0.0111,0.00123
Greek-style marinated mushrooms,2080,3950,3550,2380,2350,230,1740,1430,0.11,1260,22.6,0.17,0.58,13.8,0.13,52.2,292,500,0.39,0,0.747,0,1.47,10.3,0.062,0.2,1.88,0.76,0.11,0.0273,0.000018
"Prepared potatoes salad, home-made",2680,9900,8200,0,1300,1430,2480,3740,68,1330,19,0.12,0.65,15,0.1,52,254,529,0.31,0.029,0.036,0,0,10,0.077,0.06,0.89,0.53,0.14,0.007,0
"Tabbouleh, prepacked",4290,22200,5650,3820,2270,600,3300,1270,0.1,910,19.9,0.12,0.72,27.1,0.3,66.5,207,355,0.46,0,0,0,1.68,14.5,0.09,0.04,0.83,0,0.09,0.017,0
"Potato salad, piémontaise-style, prepacked",4110,7980,9280,1170,1510,1150,4060,1800,34.2,970,0,0,0,0,0,0,195,384,0,0,0,0.0005,2.07,7.62,0,0,0,0,0,0,0
Prepared rice salad,5130,16100,4350,1000,1700,530,2230,0,6.5,1100,23.3,0.1,0.43,13.1,0.1,66.6,143,431,0.3,0.002,0.034,0.0005,1.63,4.48,0.058,0.045,2.65,0.14,0.13,0.0335,0.00043
"Prepared pasta salad, vegetarian",5700,12900,8100,2300,1700,2370,1460,3920,6,580,14,0.06,0.6,11,0.2,37,84,51,0.4,0.007,1.18,0,1.95,21,0.04,0.02,0.4,0,0.09,0.016,0
"Salad, vegetable, without dressing (average)",1030,2500,530,2010,1510,95,200,130,0.059,37,27.3,0.055,0.46,13.6,0.18,29.4,257,14.8,0.19,0.000012,1.77,0.000074,0.47,14.6,0.044,0.041,0.53,0.22,0.087,0.0393,0
"Prepared pasta salad, with vegetable, meat or fish",5190,14000,9940,2160,1980,1740,5850,1910,11,950,18.5,0.091,0.69,20,0.15,66.2,177,378,0.52,0.016,0.494,0.00023,0.55,5.56,0.069,0.053,1.93,0.24,0.13,0.0145,0.00023
"Caesar's salad (salad, chicken, croûtons, sauce)",8130,4880,10000,1710,2000,2360,4990,2090,40.7,750,100,0.11,0.5,19,0.15,150,300,301,0.69,0.0279,0.627,0.00025,2.24,1.11,0.096,0.068,2.29,0.47,0.094,0.0293,0.00048
"Coleslaw, w sauce, prepacked",940,5780,8100,4720,3000,630,4830,2200,0,880,39,0.03,1.3,9.3,0.26,29,210,353,0.27,0,1.34,0.00025,2.21,21.6,0.026,0.01,0.1,0.21,0.093,0.0146,0
"Tabbouleh with chicken, prepacked",6400,20600,7450,2480,2020,860,3780,1750,8.24,1050,18,0.1,0.8,24,0.32,100,190,424,0.65,0.021,0.135,0.00025,1.48,0.5,0.14,0.045,1.16,0.4,0.096,0.0965,0.0001
"Soup, lentils, prepacked, to be reheated",3280,6600,1120,700,1800,450,520,130,3,360,25,0.17,1.07,19,0.24,74,144,143,0.61,0,0.43,0,0,1.7,0.07,0.045,0.55,0.14,0.09,0.02,0.00012
"Soup, chicken and vegetables, prepacked, to be reheated",3090,2600,800,1200,400,300,0,0,0,1750,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,1.9,0,0,0,0.00011
"Soup, mixed vegetables, prepacked, to be reheated",760,5050,1560,1720,1100,550,500,110,3.7,690,14,0.02,0.14,5.3,0.04,19,110,275,0.11,0.021,1.71,0,0.62,5.75,0.29,0.062,0.31,0.33,0.16,0.0398,0.000052
"Soup, fish and/or crustacean, prepacked, to be reheated",3450,2880,1790,900,690,580,930,250,30,860,130,0.07,0.61,11,0.05,80,110,343,0.25,0.0598,0.446,0.0002,0.32,0.5,0.03,0.039,0.63,0.18,0.032,0.005,0.00135
"Soup, mixed vegetables, dehydrated and reconstituted",860,4430,1220,1070,1160,390,450,91,2.12,690,21,0.03,0.19,7,0.05,12.5,60,276,0.12,0.021,0.261,0,0.19,3.28,0.05,0.24,0.13,0.12,0.044,0.0084,0.000029
"Soup, leek and potato, prepacked, to be reheated",790,4460,1510,810,1280,600,530,270,4.73,730,16,0.02,0.17,5.6,0.04,16,94,290,0.13,0.021,0.12,0,0.28,7.95,0.01,0.03,0.23,0.14,0.23,0.0293,0.000045
"Soup, chicken and vermicelli, prepacked, to be reheated",1300,3860,1000,770,560,490,290,180,5,820,7.96,0.069,0.14,7.93,0.057,17,30.5,326,0.1,0.001,0.119,0,0.03,0,0.055,0.045,0.54,0.074,0.02,0.002,0.00002
"Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted",440,100,400,0,0,200,90,50,0,1080,1,0,0.1,2,0.01,1,15,430,0,0,0,0,0,0,0.06,0.01,0,0.02,0.01,0.012,0.00005
"Soup, onions, prepacked, to be reheated",1350,4930,1400,1500,1340,550,0,260,0,790,12,0.054,0.27,1,0.098,4,28,315,0.25,0.001,0.001,0,0.11,0.5,0.013,0.01,0.24,0,0.02,0.006,0
"Soup, mushrooms, prepacked, to be reheated",810,4090,3070,910,520,1580,400,960,3.3,780,7,0.016,0.09,2,0.018,12,62,312,0.06,0.0055,0,0.0001,0.24,0,0.006,0.008,0.17,0.072,0.007,0.001,0
"Soup, carrots, prepacked, to be reheated",610,3890,1410,1820,1220,960,360,29,0,650,15,0,0.3,7,0,20,140,259,0,0.004,3.5,0,0,11,0.05,0,0.65,0,0.08,0.009,0
"Soup, tomatoes, prepacked, to be reheated",740,6270,990,2950,880,360,290,300,2.9,640,11,0.03,0.14,5.9,0.04,15,130,259,0.08,0.021,1.68,0.0006,0.69,6.4,0.01,0.056,0.58,0.2,0.2,0.0238,0.00001
"Soup, chorba frik, w meat and frik",3750,5400,2500,900,1900,0,0,0,11,840,19,0.07,0.97,17,0.31,54,157,337,0.84,0.0044,0.172,0.00002,0.6,3.2,0.03,0.04,0.96,0.18,0.07,0.016,0.00011
"Soup, minestrone, prepacked, to be reheated",1200,5600,2000,1700,1800,600,340,290,1.5,750,33.3,0.11,0.56,12.5,0.11,34.5,106,300,0.19,0,0.885,0,0.67,1.25,0.023,0.034,0.44,0.22,0.071,0.01,0
