recipe,food_item,quantity
"High protein breakfast","Olive oil, extra virgin",15
"High protein breakfast","Tomato, raw",1
"High protein breakfast","Bacon, back",200
"High protein breakfast","Beef, sirloin steak, roasted/baked",150
"High protein breakfast","Mushroom, all types, raw",150
"High protein breakfast","Spinach, cooked",160
"High protein breakfast","Egg, raw",1
"Indian chicken protein pots","Lentils, sprouted",90
"Indian chicken protein pots","Tomato, cherry, raw",20
"Indian chicken protein pots","Chicken, breast, without skin, cooked",150
"Indian chicken protein pots","Coriander, fresh",10
"Creamy courgette lasagne","Dried pasta, cooked, unsalted",500
"Creamy courgette lasagne","Sunflower oil",10
"Creamy courgette lasagne","Onion, cooked",1
"Creamy courgette lasagne","Courgette or zucchini, pulp and peel, cooked",2
"Creamy courgette lasagne","Garlic, fresh",2
"Creamy courgette lasagne","Ricotta cheese",250
"Creamy courgette lasagne","Cheddar cheese, from cow's milk",50
"Creamy courgette lasagne","Tomato sauce, with onions, prepacked",300
"Chocolate brownie cake","Butter, unknown fat content , half-salted (average)",100
"Chocolate brownie cake","Sugar, white",175
"Chocolate brownie cake","Sugar, brown",75
"Chocolate brownie cake","Dark chocolate bar, more than 40% cocoa, for cooking",125
"Chocolate brownie cake","Syrup, maple",10
"Chocolate brownie cake","Egg, raw",2
"Chocolate brownie cake","Wheat flour, type 55 (for pastry)",100
"Chocolate brownie cake","Baking powder or raising agent",5
"Chocolate brownie cake","Cocoa powder, without sugar, powder, instant",10
"Moroccan chickpea soup","Olive oil, extra virgin",5
"Moroccan chickpea soup","Onion, cooked",1
"Moroccan chickpea soup","Celery stalk, raw",2
"Moroccan chickpea soup","Cumin, seed",5
"Moroccan chickpea soup","Tomato, pulp and peel, boiled/cooked in water",400
"Moroccan chickpea soup","Chick pea, canned, drained",400
"Moroccan chickpea soup","Broad bean, without peal, frozen, water boiled",100
"Moroccan chickpea soup","Lemon, pulp, raw",1
"Moroccan chickpea soup","Coriander, fresh",10
"Mushroom risotto","Shiitake mushroom, cooked",50
"Mushroom risotto","Broth, stock or bouillon, meat and vegetables, dehydrated",1
"Mushroom risotto","Olive oil, extra virgin",10
"Mushroom risotto","Onion, cooked",1
"Mushroom risotto","Garlic, fresh",2
"Mushroom risotto","Rice, cooked, unsalted",300
"Mushroom risotto","Wine, white, 11Á",175
"Mushroom risotto","Butter, unknown fat content , half-salted (average)",25
"Mushroom risotto","Parmesan cheese, from cow's milk",50
"Mushroom risotto","Salt, white, for human consumption (sea, igneous or rock), no enrichment",2
"Spaghetti puttanesca","Dried pasta, cooked, unsalted",100
"Spaghetti puttanesca","Onion, cooked",1
"Spaghetti puttanesca","Olive oil, extra virgin",15
"Spaghetti puttanesca","Tomato, cherry, raw",20
"Spaghetti puttanesca","Garlic, fresh",2
"Spaghetti puttanesca","Capers, pickled in vinegar",15
"Spaghetti puttanesca","Spinach, raw",160
"Tomato salad","Tomato, raw",6
"Tomato salad","Onion, raw",1
"Tomato salad","Basil, fresh",10
"Tomato salad","Olive oil, extra virgin",15
"Tomato salad","Sesame seed",10
"American blueberry pancakes","Wheat flour, type 55 (for pastry)",200
"American blueberry pancakes","Baking powder or raising agent",10
"American blueberry pancakes","Egg, raw",1
"American blueberry pancakes","Milk, semi-skimmed, UHT",300
"American blueberry pancakes","Blueberry, raw",150
"Apple & blackberry crumble","Wheat flour, type 55 (for pastry)",120
"Apple & blackberry crumble","Sugar, brown",100
"Apple & blackberry crumble","Butter, unknown fat content , half-salted (average)",90
"Apple & blackberry crumble","Blueberry, raw",150
"Apple & blackberry crumble","Apple, pulp and peel, raw",1
"Apple & blackberry crumble","Ice cream, in box",200
"Homemade protein shake","Banana, pulp, raw",1
"Homemade protein shake","Yogurt, Greek-style, ewe's milk",170
"Homemade protein shake","Quinoa, boiled/cooked in water, unsalted",25
"Homemade protein shake","Soya flour",50
"Veggie protein chilli","Olive oil, extra virgin",15
"Veggie protein chilli","Onion, raw",1
"Veggie protein chilli","Garlic, fresh",2
"Veggie protein chilli","Sweet potato, cooked",2
"Veggie protein chilli","Haricot bean, cooked",400
"Veggie protein chilli","Tomato, peeled, canned, drained",400
"Breakfast smoothie","Banana, pulp, raw",1
"Breakfast smoothie","Apple, pulp and peel, raw",1
"Breakfast smoothie","Blueberry, raw",150
"Breakfast smoothie","Honey",20
"Breakfast smoothie","Milk, semi-skimmed, UHT",100
"Chicken satay salad","Chicken, leg, meat and skin, roasted/baked",300
"Chicken satay salad","Olive oil, extra virgin",15
"Chicken satay salad","Quinoa, boiled/cooked in water, unsalted",75
"Chicken satay salad","Honey",20
"Courgette & tomato soup","Butter, 82% fat, unsalted",10
"Courgette & tomato soup","Onion, raw",2
"Courgette & tomato soup","Courgette or zucchini, pulp and peel, raw",3
"Courgette & tomato soup","Tomato, raw",5
"Courgette & tomato soup","Wheat flour, type 110",20
"Courgette & tomato soup","Turmeric, powder",5
"Courgette & tomato soup","Broth, stock or bouillon, vegetables, dehydrated and reconstituted",500
"Moroccan turkey salad","Pita bread",200
"Moroccan turkey salad","Olive oil, extra virgin",20
"Moroccan turkey salad","Eggplant, raw",1
"Moroccan turkey salad","Harissa (hot spicy sauce), prepacked",10
"Moroccan turkey salad","Tomato, cherry, raw",10
"Moroccan turkey salad","Turkey, meat, roasted/baked",500
"Moroccan turkey salad","Roman rocket, raw",100
"Moroccan turkey salad","Pomegranate, pulp and pips, raw",110
"Moroccan turkey salad","Mint, fresh",10
"Two bean, potato & tuna salad","Potato, peeled, raw",3
"Two bean, potato & tuna salad","French bean, raw",175
"Two bean, potato & tuna salad","Mung bean, sprouted or soy spouts, raw",175
"Two bean, potato & tuna salad","Tuna, plain, canned, drained",160
"Two bean, potato & tuna salad","Roman rocket, raw",50
"Two bean, potato & tuna salad","Harissa (hot spicy sauce), prepacked",20
"Two bean, potato & tuna salad","Olive oil, extra virgin",20
"Two bean, potato & tuna salad","Vinegar",20
"Favourite pasta salad","Dried pasta, raw",250
"Favourite pasta salad","Snow pea, raw",140
"Favourite pasta salad","Parsley, fresh",20
"Favourite pasta salad","Chive or spring onion, fresh",20
"Favourite pasta salad","Olive oil, extra virgin",20
